AWAY,HOME,TIME,TV,TICKETS,LOCATION,ODDS_BY,DATE
Penn State-York,@  UMBC,6:00 PM,ESPN+,Tickets as low as $32,"Chesapeake Employers Insurance Arena, Baltimore, MD",,2025-11-04
Evansville,@  1 Purdue,6:30 PM,BTN,Tickets as low as $21,"Mackey Arena, West Lafayette, IN",Line: PUR -35.5O/U: 150.5,2025-11-04
Nicholls,@  9 Kentucky,7:00 PM,SECN+,Tickets as low as $18,"Rupp Arena, Lexington, KY",Line: UK -31.5O/U: 156.5,2025-11-04
East-West University,@  SIU Edwardsville,7:00 PM,ESPN+,,"First Community Arena, Edwardsville, IL",,2025-11-04
North Carolina A&T,@  South Carolina,7:00 PM,SECN+,Tickets as low as $6,"Colonial Life Arena, Columbia, SC",Line: SC -22.5O/U: 143.5,2025-11-04
Alcorn State,@  Florida State,7:00 PM,ACC Extra,Tickets as low as $7,"Tucker Center, Tallahassee, FL",Line: FSU -27.5O/U: 156.5,2025-11-04
Converse University,@  East Tennessee State,7:00 PM,ESPN+,,"Freedom Hall (TN), Johnson City, TN",,2025-11-04
Caldwell,@  Monmouth,7:00 PM,,,"OceanFirst Bank Center, West Long Branch, NJ",,2025-11-04
St. Joseph's (NY),@  Manhattan,7:00 PM,ESPN+,,"Draddy Gymnasium, Riverdale, NY",,2025-11-04
Merchant Marine Academy,@  Sacred Heart,7:00 PM,ESPN+,Tickets as low as $14,"William H. Pitt Center, Fairfield, CT",,2025-11-04
NJIT,@  Fordham,7:00 PM,ESPN+,Tickets as low as $7,"Rose Hill Gym, Bronx, NY",Line: FOR -16.5O/U: 147.5,2025-11-04
Georgia Southern,@  East Carolina,7:00 PM,ESPN+,Tickets as low as $18,"Minges Coliseum, Greenville, NC",Line: ECU -5.5O/U: 151.5,2025-11-04
Mount St. Mary's,@  West Virginia,7:00 PM,ESPN+,Tickets as low as $22,"WVU Coliseum, Morgantown, WV",Line: WVU -19.5O/U: 136.5,2025-11-04
UNC Asheville,@  Wichita State,7:30 PM,ESPN+,Tickets as low as $18,"Charles Koch Arena, Wichita, KS",Line: WICH -7.5O/U: 157.5,2025-11-04
Lindenwood,@  10 Texas Tech,8:00 PM,ESPN+,Tickets as low as $10,"United Supermarkets Arena, Lubbock, TX",Line: TTU -35.5O/U: 148.5,2025-11-04
West Coast Baptist,@  Utah Valley,8:00 PM,ESPN+,,"UCCU Center, Orem, UT",,2025-11-04
College Of Biblical Studies,@  Rice,8:00 PM,ESPN+,Tickets as low as $12,"Tudor Fieldhouse, Houston, TX",,2025-11-04
Arkansas Baptist,@  Little Rock,8:00 PM,ESPN+,,"Jack Stephens Center, Little Rock, AR",,2025-11-04
Missouri Southern State,@  Missouri State,8:00 PM,ESPN+,,"Great Southern Bank Arena, Springfield, MO",,2025-11-04
Eastern Illinois,@  Valparaiso,8:00 PM,ESPN+,Tickets as low as $66,"Athletics-Recreation Center, Valparaiso, IN",Line: VAL -6.5O/U: 144.5,2025-11-04
UNC Greensboro,@  Kansas State,8:00 PM,ESPN+,Tickets as low as $5,"Bramlage Coliseum, Manhattan, KS",Line: KSU -18.5O/U: 148.5,2025-11-04
Oral Roberts,@  Oklahoma State,8:00 PM,ESPN+,Tickets as low as $7,"Gallagher-Iba Arena, Stillwater, OK",Line: OKST -20.5O/U: 165.5,2025-11-04
Robert Morris,@  Iowa,8:30 PM,BTN,Tickets as low as $6,"Carver-Hawkeye Arena, Iowa City, IA",Line: IOWA -22.5O/U: 136.5,2025-11-04
Texas,@  6 Duke,8:45 PM,ESPN,Tickets as low as $34,"Spectrum Center, Charlotte, NC",Line: DUKE -10.5O/U: 153.5,2025-11-04
Adams State,@  New Mexico State,9:00 PM,ESPN+,Tickets as low as $37,"Pan American Center, Las Cruces, NM",,2025-11-04
San Francisco State,@  UC Santa Barbara,9:00 PM,ESPN+,Tickets as low as $13,"The Thunderdome, Santa Barbara, CA",,2025-11-04
Occidental,@  San Diego,9:00 PM,ESPN+,Tickets as low as $6,"Jenny Craig Pavilion, San Diego, CA",,2025-11-04
Southern Utah,@  Arizona State,9:00 PM,ESPN+,Tickets as low as $5,"Desert Financial Arena, Tempe, AZ",Line: ASU -17.5O/U: 150.5,2025-11-04
Dominican (CA),@  Sacramento State,10:00 PM,ESPN+,,"Hornet Pavilion, Sacramento, CA",,2025-11-04
Louisiana Tech,@  Nevada,10:00 PM,,Tickets as low as $11,"Lawlor Events Center, Reno, NV",Line: NEV -8.5O/U: 136.5,2025-11-04
Cal Poly Humboldt,@  Santa Clara,10:00 PM,ESPN+,Tickets as low as $7,"Leavey Center, Santa Clara, CA",,2025-11-04
Park University Gilbert,@  Idaho State,10:00 PM,ESPN+,,"Reed Gym, Pocatello, ID",,2025-11-04
Long Beach State,@  San Diego State,10:00 PM,,Tickets as low as $10,"Viejas Arena, San Diego, CA",Line: SDSU -25.5O/U: 135.5,2025-11-04
UT Martin,@  UNLV,10:00 PM,,Tickets as low as $8,"Thomas & Mack Center, Las Vegas, NV",Line: UNLV -17.5O/U: 145.5,2025-11-04
Portland State,@  Stanford,10:00 PM,ACC Extra,Tickets as low as $4,"Maples Pavilion, Stanford, CA",Line: STAN -11.5O/U: 144.5,2025-11-04
Hawai'i,@  Oregon,10:30 PM,BTN,Tickets as low as $5,"Matthew Knight Arena, Eugene, OR",Line: ORE -12.5O/U: 144.5,2025-11-04
Milligan,@  Middle Tennessee,11:30 AM,ESPN+,Tickets as low as $38,"Murphy Center, Murfreesboro, TN",,2025-11-05
Bluefield University,@  Presbyterian,6:00 PM,,Tickets as low as $47,"Templeton Center, Clinton, SC",,2025-11-05
RIT,@  Binghamton,6:00 PM,ESPN+,Tickets as low as $24,"Events Center (Binghamton), Binghamton, NY",,2025-11-05
Rider,@  Rutgers,6:00 PM,BTN,Tickets as low as $9,"Jersey Mike’s Arena, Piscataway, NJ",,2025-11-05
Carolina University,@  App State,6:30 PM,ESPN+,Tickets as low as $40,"Holmes Convocation Center, Boone, NC",,2025-11-05
Coppin State,@  La Salle,6:30 PM,ESPN+,,"John Glaser Arena, Philadelphia, PA",,2025-11-05
College Of Biblical Studies,@  UTSA,7:00 PM,ESPN+,Tickets as low as $13,"UTSA Convocation Center, San Antonio, TX",,2025-11-05
Mississippi University For Women,@  Mississippi Valley State,7:00 PM,,,"R.W. Harrison HPER Complex, Itta Bena, MS",,2025-11-05
Washington and Lee,@  James Madison,7:00 PM,ESPN+,Tickets as low as $8,"Atlantic Union Bank Center, Harrisonburg, VA",,2025-11-05
Dickinson (PA),@  Lafayette,7:00 PM,ESPN+,Tickets as low as $20,"Kirby Sports Center, Easton, PA",,2025-11-05
Regent,@  Norfolk State,7:00 PM,,,"Joseph G. Echols Hall, Norfolk, VA",,2025-11-05
Belmont Abbey,@  Elon,7:00 PM,,,"Schar Center, Elon, NC",,2025-11-05
Dallas,@  Prairie View A&M,7:00 PM,,,"William Nicks Building, Prairie View, TX",,2025-11-05
Delaware State,@  Temple,7:00 PM,ESPN+,Tickets as low as $14,"Liacouras Center, Philadelphia, PA",,2025-11-05
Plattsburgh St,@  Vermont,7:00 PM,ESPN+,Tickets as low as $7,"Patrick Gymnasium, Burlington, VT",,2025-11-05
LaGrange,@  Mercer,7:00 PM,ESPN+,,"Hawkins Arena, Macon, GA",,2025-11-05
Lynchburg,@  Queens University,7:00 PM,ESPN+,,"Curry Arena, Charlotte, NC",,2025-11-05
Maryland Eastern Shore,@  Georgia,7:00 PM,SECN+,Tickets as low as $4,"Stegeman Coliseum, Athens, GA",,2025-11-05
Southern Indiana,@  Butler,7:00 PM,ESPN+,Tickets as low as $5,"Hinkle Fieldhouse, Indianapolis, IN",,2025-11-05
Southern Virginia,@  Richmond,7:00 PM,ESPN+,Tickets as low as $8,"Robins Center, Richmond, VA",,2025-11-05
South Dakota,@  23 Creighton,8:00 PM,Peacock,Tickets as low as $5,"CHI Health Center Omaha, Omaha, NE",,2025-11-05
Texas A&M-San Antonio,@  Texas State,8:00 PM,ESPN+,Tickets as low as $16,"Strahan Arena at the University Events Center, San Marcos, TX",,2025-11-05
Alabama A&M,@  Indiana,8:00 PM,BTN,Tickets as low as $4,"Simon Skjodt Assembly Hall, Bloomington, IN",,2025-11-05
Tarleton State,@  LSU,8:00 PM,SECN+,Tickets as low as $4,"Pete Maravich Assembly Center, Baton Rouge, LA",,2025-11-05
Southern,@  Marquette,8:00 PM,ESPN+,Tickets as low as $5,"Fiserv Forum, Milwaukee, WI",,2025-11-05
East Texas A&M,@  New Mexico,9:00 PM,,Tickets as low as $11,"The Pit, Albuquerque, NM",,2025-11-05
Ottawa (AZ),@  Montana,9:00 PM,ESPN+,Tickets as low as $27,"Dahlberg Arena, Missoula, MT",,2025-11-05
South Carolina Upstate,@  Fresno State,9:00 PM,,Tickets as low as $21,"Save Mart Center, Fresno, CA",,2025-11-05
North Dakota State,@  UC Davis,9:00 PM,ESPN+,Tickets as low as $11,"University Credit Union Center, Davis, CA",,2025-11-05
Northwest Indian,@  Montana State,9:00 PM,ESPN+,Tickets as low as $30,"Worthington Arena, Bozeman, MT",,2025-11-05
Bethesda University,@  Utah Tech,9:00 PM,ESPN+,,"Burns Arena, St. George, UT",,2025-11-05
North Alabama,@  Mississippi State,9:00 PM,SEC Network,Tickets as low as $7,"Humphrey Coliseum, Starkville, MS",,2025-11-05
Pacific Lutheran,@  Cal Poly,10:00 PM,ESPN+,,"Mott Athletics Center, San Luis Obispo, CA",,2025-11-05
Life Pacific,@  Pacific,10:00 PM,ESPN+,Tickets as low as $52,"Alex G. Spanos Center, Stockton, CA",,2025-11-05
Eastern Washington,@  Loyola Marymount,10:30 PM,ESPN+,Tickets as low as $8,"Gersten Pavilion, Los Angeles, CA",,2025-11-05
Penn St Abington,@  Loyola Maryland,11:30 AM,ESPN+,,"Reitz Arena, Baltimore, MD",,2025-11-06
Whittier,@  Cal State Bakersfield,2:00 PM,ESPN+,,"Icardo Center, Bakersfield, CA",,2025-11-06
Curry College,@  New Hampshire,6:00 PM,ESPN+,,"Lundholm Gymnasium, Durham, NH",,2025-11-06
Central Penn,@  Morgan State,6:00 PM,,Tickets as low as $58,"Hill Field House, Baltimore, MD",,2025-11-06
Long Island University,@  IU Indianapolis,6:30 PM,ESPN+,Tickets as low as $31,"The Jungle, Indianapolis, IN",,2025-11-06
Jackson State,@  11 Louisville,7:00 PM,ACC Extra,Tickets as low as $5,"KFC Yum! Center, Louisville, KY",,2025-11-06
District Of Columbia,@  Howard,7:00 PM,ESPN+,,"Burr Gymnasium, Washington, DC",,2025-11-06
Randolph College,@  Old Dominion,7:00 PM,ESPN+,Tickets as low as $25,"Chartway Arena, Norfolk, VA",,2025-11-06
Valley Forge,@  Lehigh,7:00 PM,ESPN+,Tickets as low as $47,"Stabler Arena, Bethlehem, PA",,2025-11-06
Northwood (MI),@  Western Michigan,7:00 PM,ESPN+,,"University Arena (MI), Kalamazoo, MI",,2025-11-06
Illinois Tech,@  Indiana State,7:00 PM,ESPN+,Tickets as low as $26,"Hulman Center, Terre Haute, IN",,2025-11-06
Mid-Atlantic Christian,@  Hampton,7:00 PM,,,"Convocation Center (VA), Hampton, VA",,2025-11-06
Capital,@  Cleveland State,7:00 PM,ESPN+,,"Wolstein Center, Cleveland, OH",,2025-11-06
Bethany (WV),@  Bowling Green,7:00 PM,ESPN+,Tickets as low as $22,"Stroh Center, Bowling Green, OH",,2025-11-06
University of Health Sciences & Pharmacy,@  Lindenwood,7:00 PM,ESPN+,,"Hyland Arena, Saint Charles, MO",,2025-11-06
Toccoa Falls,@  Charleston Southern,7:00 PM,ESPN+,Tickets as low as $30,"Buccaneer Fieldhouse, Charleston, SC",,2025-11-06
Campbell,@  West Virginia,7:00 PM,ESPN+,Tickets as low as $15,"WVU Coliseum, Morgantown, WV",,2025-11-06
The Citadel,@  Boston College,7:00 PM,,Tickets as low as $4,"Conte Forum, Chestnut Hill, MA",,2025-11-06
Allegheny,@  Canisius,7:00 PM,ESPN+,Tickets as low as $26,"Koessler Athletic Center, Buffalo, NY",,2025-11-06
Illinois State,@  Ohio,7:00 PM,ESPN+,Tickets as low as $20,"Convocation Center (OH), Athens, OH",,2025-11-06
Central Connecticut,@  Quinnipiac,7:00 PM,ESPN+,,"M&T Bank Arena, Hamden, CT",,2025-11-06
Le Moyne,@  Xavier,7:00 PM,ESPN+,Tickets as low as $6,"Cintas Center, Cincinnati, OH",,2025-11-06
Bethune-Cookman,@  Miami,7:00 PM,ACC Extra,Tickets as low as $5,"Watsco Center, Coral Gables, FL",,2025-11-06
Robert Morris,@  Drake,7:30 PM,ESPN+,Tickets as low as $15,"Knapp Center, Des Moines, IA",,2025-11-06
Trinity (FL),@  Jacksonville,7:30 PM,ESPN+,,"Swisher Gymnasium, Jacksonville, FL",,2025-11-06
North Florida,@  3 Florida,8:00 PM,SECN+,Tickets as low as $7,"Stephen C. O'Connell Center, Gainesville, FL",,2025-11-06
Grambling,@  16 Iowa State,8:00 PM,ESPN+,Tickets as low as $5,"Hilton Coliseum, Ames, IA",,2025-11-06
Merrimack,@  20 Auburn,8:00 PM,SECN+,Tickets as low as $24,"Neville Arena, Auburn, AL",,2025-11-06
Alcorn State,@  South Alabama,8:00 PM,ESPN+,Tickets as low as $44,"Mitchell Center, Mobile, AL",,2025-11-06
Dakota State,@  South Dakota State,8:00 PM,,Tickets as low as $21,"First Bank & Trust Arena, Brookings, SD",,2025-11-06
Midway University,@  Eastern Kentucky,8:00 PM,ESPN+,,"Baptist Health Arena, Richmond, KY",,2025-11-06
Northwestern State,@  North Texas,8:00 PM,ESPN+,Tickets as low as $9,"The Super Pit, Denton, TX",,2025-11-06
Tougaloo,@  Southern Miss,8:00 PM,ESPN+,,"Reed Green Coliseum, Hattiesburg, MS",,2025-11-06
Texas Southern,@  Texas A&M,8:00 PM,SECN+,Tickets as low as $9,"Reed Arena, College Station, TX",,2025-11-06
UC Riverside,@  North Dakota,8:00 PM,,Tickets as low as $29,"Betty Engelstad Sioux Center, Grand Forks, ND",,2025-11-06
Omaha,@  Abilene Christian,8:00 PM,ESPN+,,"Moody Coliseum (Abilene), Abilene, TX",,2025-11-06
Cal State Northridge,@  Northern Iowa,8:00 PM,ESPN+,Tickets as low as $22,"McLeod Center, Cedar Falls, IA",,2025-11-06
Texas A&M-Corpus Christi,@  SMU,8:00 PM,ACC Extra,Tickets as low as $4,"Moody Coliseum (Dallas), Dallas, TX",,2025-11-06
Chicago State,@  Saint Louis,8:00 PM,ESPN+,Tickets as low as $6,"Chaifetz Arena, St. Louis, MO",,2025-11-06
Saint Francis,@  TCU,8:00 PM,TNTtruTV,Tickets as low as $9,"Schollmaier Arena, Fort Worth, TX",,2025-11-06
Mercyhurst,@  Loyola Chicago,9:00 PM,ESPN+,Tickets as low as $6,"Gentile Arena, Chicago, IL",,2025-11-06
Denver,@  Washington,10:00 PM,BTN,Tickets as low as $6,"Alaska Airlines Arena, Seattle, WA",,2025-11-06
Wright State,@  California,10:00 PM,ACC Extra,Tickets as low as $12,"Haas Pavilion, Berkeley, CA",,2025-11-06
Arkansas-Pine Bluff,@  Portland,10:30 PM,ESPN+,Tickets as low as $13,"Chiles Center, Portland, OR",,2025-11-06
Wilmington (DE),@  Delaware,11:00 AM,ESPN+,Tickets as low as $7,"Bob Carpenter Center, Newark, DE",,2025-11-07
Calumet,@  Evansville,12:00 PM,ESPN+,Tickets as low as $31,"Ford Center, Evansville, IN",,2025-11-07
Columbia,@  New Haven,1:00 PM,,,"Jeffery P. Hazell Athletics Center, West Haven, CT",,2025-11-07
SIU Edwardsville,@  UTSA,1:30 PM,ESPN+,Tickets as low as $13,"UTSA Convocation Center, San Antonio, TX",,2025-11-07
Northeastern,@  Colgate,5:00 PM,ESPN+,Tickets as low as $23,"Cotterell Court, Hamilton, NY",,2025-11-07
MIT,@  Harvard,5:00 PM,ESPN+,Tickets as low as $70,"Lavietes Pavilion, Cambridge, MA",,2025-11-07
Jarvis Christian,@  Incarnate Word,6:00 PM,ESPN+,Tickets as low as $10,"McDermott Center, San Antonio, TX",,2025-11-07
Charleston,@  Liberty,6:00 PM,YouTube,Tickets as low as $42,"Liberty Arena (VA), Lynchburg, VA",,2025-11-07
Boston University,@  Northwestern,6:00 PM,Peacock,Tickets as low as $7,"Welsh-Ryan Arena, Evanston, IL",,2025-11-07
Georgetown,@  Maryland,6:00 PM,FS1,Tickets as low as $23,"XFINITY Center, College Park, MD",,2025-11-07
Tulsa,@  Rhode Island,6:00 PM,CBSSN,Tickets as low as $27,"Alumni Hall (Navy), Annapolis, MD",,2025-11-07
Green Bay,@  Buffalo,6:30 PM,ESPN+,Tickets as low as $9,"Alumni Arena, Buffalo, NY",,2025-11-07
Purdue Fort Wayne,@  Ohio State,6:30 PM,BTN,Tickets as low as $6,"Value City Arena, Columbus, OH",,2025-11-07
Oakland,@  1 Purdue,7:00 PM,Peacock,Tickets as low as $100,"Mackey Arena, West Lafayette, IN",,2025-11-07
Valparaiso,@  9 Kentucky,7:00 PM,SECN+,Tickets as low as $34,"Rupp Arena, Lexington, KY",,2025-11-07
19 Kansas,@  25 North Carolina,7:00 PM,ESPN,Tickets as low as $119,"Dean E. Smith Center, Chapel Hill, NC",Line: UNC -1.5O/U: 153.5,2025-11-07
Virginia-Lynchburg,@  Coastal Carolina,7:00 PM,ESPN+,Tickets as low as $38,"The HTC Center, Conway, SC",,2025-11-07
Arkansas State,@  Stephen F. Austin,7:00 PM,ESPN+,,"William R. Johnson Coliseum, Nacogdoches, TX",,2025-11-07
Alabama State,@  Florida State,7:00 PM,ACC Extra,Tickets as low as $9,"Tucker Center, Tallahassee, FL",,2025-11-07
Winthrop,@  George Mason,7:00 PM,ESPN+,Tickets as low as $10,"EagleBank Arena, Fairfax, VA",,2025-11-07
West Virginia Wesleyan,@  Radford,7:00 PM,ESPN+,,"The Dedmon Center, Radford, VA",,2025-11-07
Huntingdon College (AL),@  West Georgia,7:00 PM,ESPN+,,"The Coliseum, Carrollton, GA",,2025-11-07
Fort Lauderdale,@  Stetson,7:00 PM,ESPN+,,"Edmunds Center, DeLand, FL",,2025-11-07
Troy,@  Furman,7:00 PM,ESPN+,Tickets as low as $27,"Timmons Arena, Greenville, SC",,2025-11-07
Hofstra,@  Iona,7:00 PM,ESPN+,Tickets as low as $46,"Hynes Athletics Center, New Rochelle, NY",,2025-11-07
Washington State,@  Davidson,7:00 PM,ESPN+,Tickets as low as $15,"John M. Belk Arena, Davidson, NC",,2025-11-07
Western Illinois,@  Iowa,7:00 PM,B1G+,Tickets as low as $16,"Carver-Hawkeye Arena, Iowa City, IA",,2025-11-07
Lane College,@  North Alabama,7:00 PM,ESPN+,Tickets as low as $40,"Flowers Hall, Florence, AL",,2025-11-07
Cornell,@  Kent State,7:00 PM,ESPN+,Tickets as low as $9,"M.A.C. Center, Kent, OH",,2025-11-07
Mansfield,@  Ball State,7:00 PM,ESPN+,Tickets as low as $25,"Worthen Arena, Muncie, IN",,2025-11-07
Tennessee Tech,@  Charlotte,7:00 PM,ESPN+,Tickets as low as $20,"Halton Arena, Charlotte, NC",,2025-11-07
Georgia State,@  Cincinnati,7:00 PM,ESPN+,Tickets as low as $5,"Fifth Third Arena, Cincinnati, OH",,2025-11-07
Siena,@  Brown,7:00 PM,ESPN+,,"Pizzitola Sports Center, Providence, RI",,2025-11-07
Morehead State,@  Wake Forest,7:00 PM,ACC Extra,Tickets as low as $12,"LJVM Coliseum, Winston-Salem, NC",,2025-11-07
North Carolina Central,@  Virginia,7:00 PM,ACC Extra,Tickets as low as $6,"John Paul Jones Arena, Charlottesville, VA",,2025-11-07
Longwood,@  Pittsburgh,7:00 PM,ACC Extra,Tickets as low as $8,"Petersen Events Center, Pittsburgh, PA",,2025-11-07
Detroit Mercy,@  Notre Dame,7:00 PM,ACC Extra,Tickets as low as $8,"Purcell Pavilion, South Bend, IN",,2025-11-07
Sacred Heart,@  Duquesne,7:00 PM,ESPN+,Tickets as low as $26,"UPMC Cooper Fieldhouse, Pittsburgh, PA",,2025-11-07
Gardner-Webb,@  Clemson,7:00 PM,ACC Network,Tickets as low as $5,"Littlejohn Coliseum, Clemson, SC",,2025-11-07
Rowan,@  Pennsylvania,7:00 PM,ESPN+,Tickets as low as $22,"The Palestra, Philadelphia, PA",,2025-11-07
Bucknell,@  Mount St. Mary's,7:00 PM,ESPN+,Tickets as low as $50,"Knott Arena, Emmitsburg, MD",,2025-11-07
UMass Lowell,@  4 UConn,7:30 PM,Peacock,Tickets as low as $12,"PeoplesBank Arena, Hartford, CT",,2025-11-07
Trinity Christian (IL),@  Miami (OH),7:30 PM,ESPN+,Tickets as low as $13,"Millett Hall, Oxford, OH",,2025-11-07
UL Monroe,@  Ole Miss,7:30 PM,SECN+,Tickets as low as $8,"The Sandy and John Black Pavilion at Ole Miss, Oxford, MS",,2025-11-07
Wagner,@  Seton Hall,7:30 PM,ESPN+,Tickets as low as $62,"Walsh Gymnasium, South Orange, NJ",,2025-11-07
Mount Saint Mary (NY),@  Fordham,7:30 PM,ESPN+,Tickets as low as $5,"Rose Hill Gym, Bronx, NY",,2025-11-07
Bryant,@  Georgia Tech,7:30 PM,ACC Extra,Tickets as low as $8,"McCamish Pavilion, Atlanta, GA",,2025-11-07
Sam Houston,@  10 Texas Tech,8:00 PM,ESPN+,Tickets as low as $37,"United Supermarkets Arena, Lubbock, TX",,2025-11-07
Southeast Missouri State,@  Missouri,8:00 PM,SECN+,Tickets as low as $10,"Mizzou Arena, Columbia, MO",,2025-11-07
Kansas City,@  Southern Illinois,8:00 PM,ESPN+,Tickets as low as $69,"Banterra Center, Carbondale, IL",,2025-11-07
Colorado Christian,@  Northern Colorado,8:00 PM,ESPN+,Tickets as low as $12,"Bank of Colorado Arena, Greeley, CO",,2025-11-07
Mississippi Valley State,@  Murray State,8:00 PM,ESPN+,Tickets as low as $41,"CFSB Center, Murray, KY",,2025-11-07
Justice College,@  Northern Arizona,8:00 PM,ESPN+,Tickets as low as $14,"J. Lawrence Walkup Skydome, Flagstaff, AZ",,2025-11-07
Stonehill,@  DePaul,8:00 PM,ESPN+,Tickets as low as $3,"Wintrust Arena, Chicago, IL",,2025-11-07
VCU,@  Utah State,8:00 PM,,Tickets as low as $66,"Comerica Center, Frisco, TX",,2025-11-07
Nicholls,@  Eastern Illinois,8:00 PM,ESPN+,Tickets as low as $47,"Groniger Arena, Charleston, IL",,2025-11-07
Florida Gulf Coast,@  17 Illinois,8:30 PM,Peacock,Tickets as low as $3,"State Farm Center, Champaign, IL",,2025-11-07
Northern Illinois,@  24 Wisconsin,8:30 PM,BTN,Tickets as low as $7,"Kohl Center, Madison, WI",,2025-11-07
South Carolina State,@  Samford,8:30 PM,ESPN+,Tickets as low as $23,"Pete Hanna Center, Homewood, AL",,2025-11-07
VMI,@  Southern Indiana,8:30 PM,ESPN+,,"Liberty Arena (IN), Evansville, IN",,2025-11-07
Yale,@  Navy,8:30 PM,CBSSN,Tickets as low as $27,"Alumni Hall (Navy), Annapolis, MD",,2025-11-07
SE Louisiana,@  Louisiana,8:30 PM,ESPN+,Tickets as low as $27,"Cajundome, Lafayette, LA",,2025-11-07
Utah Tech,@  13 Arizona,9:00 PM,TNTtruTV,Tickets as low as $18,"McKale Memorial Center, Tucson, AZ",,2025-11-07
Western New Mexico,@  UTEP,9:00 PM,ESPN+,Tickets as low as $8,"Don Haskins Center, El Paso, TX",,2025-11-07
Idaho State,@  San Diego,9:00 PM,ESPN+,Tickets as low as $9,"Jenny Craig Pavilion, San Diego, CA",,2025-11-07
Whitman,@  Idaho,9:00 PM,ESPN+,Tickets as low as $54,"ICCU Arena, Moscow, ID",,2025-11-07
Youngstown State,@  Grand Canyon,9:00 PM,,Tickets as low as $7,"Global Credit Union Arena, Phoenix, AZ",,2025-11-07
UAB,@  NC State,9:00 PM,ACC Network,Tickets as low as $8,"Lenovo Center, Raleigh, NC",,2025-11-07
Jessup University,@  Sacramento State,10:00 PM,,Tickets as low as $43,"Hornet Pavilion, Sacramento, CA",,2025-11-07
Northwest Indian,@  Portland State,10:00 PM,ESPN+,,"Viking Pavilion, Portland, OR",,2025-11-07
Rice,@  Oregon,10:00 PM,B1G+,Tickets as low as $7,"Matthew Knight Arena, Eugene, OR",,2025-11-07
McNeese,@  Santa Clara,10:00 PM,ESPN+,Tickets as low as $5,"Leavey Center, Santa Clara, CA",,2025-11-07
UIC,@  Oregon State,10:00 PM,ESPN+,Tickets as low as $7,"Gill Coliseum, Corvallis, OR",,2025-11-07
Pepperdine,@  12 UCLA,10:30 PM,BTN,Tickets as low as $9,"Pauley Pavilion, Los Angeles, CA",,2025-11-07
Chattanooga,@  Saint Mary's,10:30 PM,ESPN+,Tickets as low as $24,"University Credit Union Pavilion, Moraga, CA",,2025-11-07
California Baptist,@  UC Irvine,10:30 PM,ESPN+,Tickets as low as $50,"Bren Events Center, Irvine, CA",,2025-11-07
15 Alabama,@  5 St. John's,12:00 PM,FS1,Tickets as low as $53,"Madison Square Garden, New York, NY",,2025-11-08
Alcorn State,@  Minnesota,12:00 PM,Peacock,Tickets as low as $11,"Williams Arena, Minneapolis, MN",,2025-11-08
Southern Virginia,@  South Carolina Upstate,12:00 PM,ESPN+,,"G.B. Hodge Center, Spartanburg, SC",,2025-11-08
Princeton,@  Akron,12:00 PM,ESPN+,Tickets as low as $45,"James A. Rhodes Arena, Akron, OH",,2025-11-08
Kennesaw State,@  Florida A&M,1:00 PM,,,"Al Lawson Center, Tallahassee, FL",,2025-11-08
Penn State,@  New Haven,1:00 PM,,,"Jeffery P. Hazell Athletics Center, West Haven, CT",,2025-11-08
Florida International,@  Nebraska,1:00 PM,B1G+,Tickets as low as $5,"Pinnacle Bank Arena, Lincoln, NE",,2025-11-08
Drexel,@  Saint Joseph's,1:00 PM,ESPN+,Tickets as low as $34,"Michael J. Hagan '85 Arena, Philadelphia, PA",,2025-11-08
Delaware State,@  Syracuse,1:00 PM,ACC Extra,Tickets as low as $3,"JMA Wireless Dome, Syracuse, NY",,2025-11-08
Western Carolina,@  6 Duke,1:30 PM,The CW Network,Tickets as low as $118,"Cameron Indoor Stadium, Durham, NC",,2025-11-08
South Florida,@  George Washington,1:30 PM,Peacock,Tickets as low as $61,"Mohegan Sun Arena, Uncasville, CT",,2025-11-08
Texas State,@  Tulane,2:00 PM,ESPN+,Tickets as low as $11,"Devlin Fieldhouse, New Orleans, LA",,2025-11-08
Champion Christian,@  Central Arkansas,2:00 PM,ESPN+,,"Farris Center, Conway, AR",,2025-11-08
Marshall,@  Toledo,2:00 PM,ESPN+,Tickets as low as $28,"Savage Arena, Toledo, OH",,2025-11-08
Fairfield,@  NJIT,2:00 PM,ESPN+,Tickets as low as $47,"Joel & Diane Bloom Wellness and Events Center, Newark, NJ",,2025-11-08
Milwaukee,@  Wofford,2:00 PM,ESPN+,,"Jerry Richardson Indoor Stadium, Spartanburg, SC",,2025-11-08
UMBC,@  Dayton,2:00 PM,ESPN+,Tickets as low as $14,"UD Arena, Dayton, OH",,2025-11-08
Niagara,@  Binghamton,2:00 PM,ESPN+,Tickets as low as $24,"Events Center (Binghamton), Binghamton, NY",,2025-11-08
Fairleigh Dickinson,@  Saint Peter's,2:00 PM,ESPN+,,"Yanitelli Center, Jersey City, NJ",,2025-11-08
Towson,@  2 Houston,3:00 PM,ESPN+,Tickets as low as $39,"Fertitta Center, Houston, TX",,2025-11-08
Northern Kentucky,@  18 Tennessee,3:00 PM,SECN+,Tickets as low as $5,"Food City Center, Knoxville, TN",,2025-11-08
UNC Asheville,@  Georgia Southern,3:00 PM,ESPN+,Tickets as low as $48,"Jack and Ruth Ann Hill Convocation Center, Statesboro, GA",,2025-11-08
